p_x,p_z,p_y,basal_vec_x,basal_vec_z,basal_vec_y,pca1_x,pca1_z,pca1_y,pca2_x,pca2_z,pca2_y,pca3_x,pca3_z,pca3_y,cpl_x,cpl_z,cpl_y,ori_x,ori_z,ori_y,file,DateTime,plant label,lamina no.,TimeDelta,TimeDelta(min),Duration,Duration(min),p_x2,p_y2,p_z2,basal_vec_x2,basal_vec_y2,basal_vec_z2,pca1_x2,pca1_y2,pca1_z2,pca2_x2,pca2_y2,pca2_z2,pca3_x2,pca3_y2,pca3_z2,bv_w_x2,bv_w_y2,bv_w_z2,Date
-0.5504956979578663,0.2123210643002553,-0.8073872999894712,-0.2474705912219635,-0.3609126792518769,-0.8991664720370104,-0.4047034884033741,-0.3337102550075176,-0.8513827295505575,-0.0434586951649941,-0.922963794592729,0.382425385775509,0.9134147077251912,-0.1917688701896328,-0.3590240550958884,-0.0175369977951049,0.0587820410728454,-0.0221295952796936,-0.0271037461044694,0.0494168774446514,-0.0618532740569851,20250702_1116_a_lamina001.txt,2025-07-02 11:16:00,a,1,0 days 00:00:00,0.0,0 days 00:00:00,0.0,0.9771999619598882,2.5901350538168414e-16,0.2123210643002553,0.882324109191065,0.3020698665796141,-0.360912679251877,0.9314195333763742,0.1452415868398418,-0.3337102550075176,-0.2914875010537717,-0.2513421385291735,-0.9229637945927291,-0.2179281752650752,0.9569388751910056,-0.1917688701896328,-0.3695121149159005,0.919554742853386,-0.1337156379269923,2025-07-02
-0.4700196916735899,0.2090174686238173,-0.8575506907752772,-0.1014544788126891,-0.258259902750741,-0.9607334757153118,-0.3073067723451151,-0.2331973211591269,-0.9225950124919572,-0.067861248432842,-0.9616704495241528,0.2656779958392299,0.949187757312516,-0.1442530967300903,-0.2797027805578906,-0.0113094747066497,0.045830100774765,-0.0397105813026428,-0.0170333042643666,0.0412869194805045,-0.0807499497774784,20250702_1127_a_lamina001.txt,2025-07-02 11:27:00,a,1,0 days 00:11:00,11.0,0 days 00:11:00,11.0,0.9779119069783798,-8.743193731685896e-17,0.2090174686238172,0.8912492550520834,0.3727956383868835,-0.2582599027507409,0.9567448948914836,0.173948887617285,-0.2331973211591268,-0.2003618366772431,-0.1872033143812776,-0.9616704495241528,-0.2109368163749646,0.966797136725887,-0.1442530967300902,-0.4068536589148829,0.908833500199228,-0.0921507956731333,2025-07-02
-0.3743541907802648,0.1818881731777047,-0.9092720342688048,0.0692309884694696,-0.1789360938157895,-0.9814218993712578,-0.2010815334023697,-0.1553916039837043,-0.9671709602422538,-0.0763661576089344,-0.9818462486986048,0.1736264780744135,0.976593276086109,-0.1087722084351004,-0.1855644895327552,-0.009475901722908,0.049300342798233,-0.0275550037622451,-0.0100884080078427,0.0511241182207479,-0.0687793524808559,20250702_1140_a_lamina001.txt,2025-07-02 11:40:00,a,1,0 days 00:13:00,13.0,0 days 00:24:00,24.0,0.983319222052573,7.818257674317715e-18,0.1818881731777047,0.8811610276906866,0.4376495374258268,-0.1789360938157895,0.97089246280578,0.1822670433136462,-0.1553916039837043,-0.1314788797854365,-0.1367159394029977,-0.9818462486986048,-0.2002027218528604,0.9736978365154446,-0.1087722084351004,-0.4541679727253563,0.8886909667055898,-0.0629270867466809,2025-07-02
-0.4880190837972877,0.2000376447688213,-0.8496012679633893,-0.2167245983498851,0.125643058940607,-0.9681137692493214,-0.4172866957541001,0.1186161005034762,-0.9010005739443092,-0.0077435425082427,-0.9918733714314464,-0.1269931202649936,0.9087419056564124,0.0460156032945934,-0.4148140705875182,-0.0162778496742248,0.0435265898704528,-0.0325259566307067,-0.0268008775172679,0.0533728358318224,-0.0701009296586672,20250702_1207_a_lamina001.txt,2025-07-02 12:07:00,a,1,0 days 00:27:00,27.0,0 days 00:51:00,51.0,0.9797882121536996,-1.6963173981752892e-16,0.2000376447688213,0.9474255908525532,0.2942763523250509,0.125643058940607,0.9891271286794292,0.0869352863441406,0.1186161005034762,0.1139761747842559,0.0565388948137901,-0.9918733714314464,-0.0929352187921088,0.9946082693007824,0.0460156032945934,-0.2989885974067222,0.9540465302255954,0.0200259028576322,2025-07-02
-0.4375163048965666,0.2227027822972792,-0.871196277371928,-0.225540851329547,0.2759138378676358,-0.9343462305027485,-0.4248697685673483,0.2561620539175984,-0.8682549636427341,0.0010465270343388,-0.9589884161130288,-0.2834433321533438,0.9052538784996694,0.1213351552261002,-0.4071771058981138,-0.0082696378231048,0.0408903807401657,-0.0525115728378295,-0.0228728356557436,0.0499362577140062,-0.0909306505755086,20250702_1218_a_lamina001.txt,2025-07-02 12:18:00,a,1,0 days 00:11:00,11.0,0 days 01:02:00,62.0,0.974886388640774,-4.7515819212578464e-17,0.2227027822972792,0.9361878146025894,0.2177703603863014,0.2759138378676358,0.9665823159710928,0.0099814119580563,0.2561620539175984,0.2528262842201517,0.1281408903061602,-0.9589884161130288,-0.0423968920958838,0.9917057444861695,0.1213351552261002,-0.2441950978153711,0.9675515399030508,0.0649058690272023,2025-07-02
-0.5761030605559458,0.1761650250624105,-0.7981673681395604,-0.6327045245524375,0.5238786090927394,-0.5702948251088474,-0.790845048673582,0.4292913751309826,-0.4362029621937819,-0.0720164837251938,-0.7730545843340797,-0.6302382372658152,0.6077645391599767,0.4670069858987262,-0.6422824457055075,-0.0189218670129776,0.041159838438034,-0.0380654782056808,-0.0488214154154208,0.0586437669365941,-0.0604782415186166,20250702_1241_a_lamina001.txt,2025-07-02 12:41:00,a,1,0 days 00:23:00,23.0,0 days 01:25:00,85.0,0.984360647295878,-2.2997409633700053e-16,0.1761650250624104,0.8327168857214692,-0.1792590058250747,0.5238786090927393,0.8165414022627628,-0.3859650937959424,0.4292913751309825,0.5531758236371881,0.3104563057555465,-0.7730545843340795,0.165095870736003,0.8687046843362293,0.4670069858987261,-0.0240644214070424,0.93353258703016,0.3576839562730202,2025-07-02
-0.6308383372809853,0.2019643241995975,-0.7491684750222486,-0.902895501794649,0.3921731193528407,-0.1760112419592906,-0.9686060217733884,0.2472021945175018,-0.0263334314144953,-0.1527891436371036,-0.6755117508578967,-0.721345515020049,0.1961067366792158,0.6946761471927984,-0.6920745612651852,-0.0402722209692001,0.0430284440517425,-0.0485618710517883,-0.0801457578875715,0.0537691051691747,-0.054832752963632,20250702_1305_a_lamina001.txt,2025-07-02 13:05:00,a,1,0 days 00:24:00,24.0,0 days 01:49:00,109.0,0.9793928791606564,2.5279199123776363e-16,0.2019643241995975,0.7162020326481962,-0.5772823337740859,0.3921731193528408,0.6440336685430473,-0.7239555986444999,0.2472021945175018,0.6501931781697865,0.3477538001436815,-0.6755117508578968,0.4030750114364038,0.5957814915528283,0.6946761471927985,0.2535813074579136,0.7387911759069501,0.6244070138218837,2025-07-02
-0.6917253350818363,0.1708587922763928,-0.701657561712103,-0.965388661849584,0.2510585821646195,-0.0706705022888666,-0.9874927640399684,0.0581221711201976,0.1465600702544109,-0.1418897815519338,-0.7329011841562737,-0.6653744390592989,-0.0687410420334743,0.677847820300845,-0.7319815582742134,-0.0150516927242279,0.0455794036388397,-0.0370934903621673,-0.0558001126566807,0.0501367938382016,-0.0367095839326722,20250702_1324_a_lamina001.txt,2025-07-02 13:24:00,a,1,0 days 00:19:00,19.0,0 days 02:08:00,128.0,0.9852955257697316,-1.4553347991740595e-16,0.1708587922763927,0.7280762666233169,-0.6378671792006102,0.2510585821646194,0.5888982202614564,-0.806114569646997,0.0581221711201975,0.5734459849324964,0.3660813524711837,-0.7329011841562736,0.5695248796476654,0.4649341286415803,0.6778478203008449,0.3755857456622275,0.677576493889454,0.6323175172204412,2025-07-02
-0.9338083143838825,-0.3556327794385699,-0.0390814300701728,0.3071236863877066,-0.2677059091128028,0.9132407062137088,0.3464306585866196,-0.2836723205270665,0.8941564814718004,-0.423370272477763,-0.8978643840420375,-0.1208187081991745,-0.8371041817918159,0.3367039685474495,0.4311461775210962,-0.0767621025443077,-0.0210137367248535,-0.0298225507140159,-0.0657187276860384,-0.042213029275057,0.0109072309434515,20250704_1011_a_lamina001.txt,2025-07-04 10:11:00,a,1,0 days 00:00:00,0.0,0 days 00:00:00,0.0,0.934625767988877,-2.0531120507610492e-16,-0.3556327794385699,-0.3450422786695872,-0.8995995621144929,-0.2677059091128028,-0.3835168637811061,-0.8788884057502944,-0.2836723205270665,0.4280520204993117,0.1030097840754432,-0.8978643840420377,0.8183436215563493,-0.4657726426298961,0.3367039685474495,0.835294734615846,-0.4243932283014704,0.3495326795807516,2025-07-04
-0.8132023552690443,-0.3728935164492264,-0.4468247472723612,-0.1338645888622639,-0.2851197509404829,0.9490979925552336,-0.0750791909329138,-0.3082438085315054,0.9483400601002004,-0.3509985417912778,-0.8819924586368302,-0.314466733643093,-0.9333612048661846,0.3564758861546625,0.0419738471073635,-0.0600637570023536,-0.0295845866203308,-0.0668616890907287,-0.0673143115265148,-0.047216572974248,-0.0218009340083446,20250704_1024_a_lamina001.txt,2025-07-04 10:24:00,a,1,0 days 00:13:00,13.0,0 days 00:13:00,13.0,0.9278741430765975,-1.529201402695796e-16,-0.3728935164492264,-0.3397243840259276,-0.8962667407205522,-0.2851197509404829,-0.390879771238811,-0.8672939288028527,-0.3082438085315054,0.4590540245619763,0.1065772275920698,-0.8819924586368302,0.7977984751613326,-0.4862535713190194,0.3564758861546625,0.8208877788295165,-0.4305197138772476,0.3752279714139078,2025-07-04
