p_x,p_z,p_y,basal_vec_x,basal_vec_z,basal_vec_y,pca1_x,pca1_z,pca1_y,pca2_x,pca2_z,pca2_y,pca3_x,pca3_z,pca3_y,cpl_x,cpl_z,cpl_y,ori_x,ori_z,ori_y,file,pca1_x2,pca1_y2,pca1_z2,pca2_x2,pca2_y2,pca2_z2,pca3_x2,pca3_y2,pca3_z2
0.2409558953294769,0.9591295708629344,0.1483601118975497,0.8002575232455019,0.5563418820144143,0.2237668581484639,0.9558496320679136,0.2713034055491082,-0.112897931837081,0.2715967976953496,-0.6689619956588352,0.6918995793074166,-0.1121902863766086,0.6920146750623174,0.7131122135688953,0.0110627673566341,0.0452840477228164,-0.0131747722625732,0.0350158300985509,0.0580994667968924,-0.0099212794864381,20240910_1100_h_lamina001.txt,0.9558496320679137,-0.11289793183708101,0.27130340554910826,0.2715967976953496,0.6918995793074165,-0.6689619956588351,-0.1121902863766086,0.7131122135688953,0.6920146750623174
-0.3667149939190974,0.913762186494199,0.1748106969503214,-0.8296676986471729,0.5324988419748983,0.1676200856606878,-0.9176286052358862,0.3819980423604866,0.1097052345405555,0.0306847432034291,0.3433006017015391,-0.9387242105144092,0.3962526837604788,0.8580339110455467,0.326743964150068,-0.0194548107683658,-0.0274698585271835,-0.0309970378875732,-0.0390407415672206,-0.0143276728918318,-0.0278562715094902,20240910_1100_h_lamina002.txt,-0.9176286052358862,0.1097052345405555,0.3819980423604866,0.030684743203429163,-0.9387242105144094,0.3433006017015392,0.3962526837604788,0.326743964150068,0.8580339110455467
0.4522070028377796,0.8764378318834304,0.1654253711736631,0.7869383402197987,0.6157618911737441,0.0395644040804648,0.8705204996594987,0.4918245389146077,0.0173977755477648,0.05803882022002,-0.1377044073093433,0.9887714556736812,-0.4886978156489396,0.8597360752748578,0.1484194254501038,0.0164338611066341,-0.0357706397771835,-0.0302646160125732,0.0354965211407839,-0.0194056193113429,-0.028449341638219,20240910_1100_h_lamina003.txt,0.8705204996594987,0.0173977755477648,0.4918245389146077,0.05803882022002011,0.9887714556736814,-0.1377044073093433,-0.48869781564893966,0.14841942545010384,0.859736075274858
0.2486221953287539,0.7838538827536917,0.5689992042893142,-0.457028769233934,0.3861463134040692,0.8012588400367026,-0.4551611690827202,0.2899396152291408,0.8418808286687787,0.8894317061970544,0.1923376486614869,0.4146293150740396,-0.0417079149640477,0.9375186656425292,-0.3454261156907559,0.0030061267316341,-0.0308878272771835,-0.0161044597625732,0.0026361655364948,-0.023906061257626,-0.0036292934300563,20240910_1100_h_lamina004.txt,-0.4551611690827202,0.8418808286687787,0.2899396152291408,-0.8894317061970546,-0.4146293150740398,-0.19233764866148684,-0.0417079149640477,-0.3454261156907559,0.9375186656425292
-0.3584774937025611,0.8803227709957794,0.310685862850312,-0.4811349627610483,0.3852357027981476,0.7874659363417201,-0.5209554215545008,0.2331144509585037,0.8211352516530318,-0.8282530336677107,0.0945644883136394,-0.5523173632706234,0.2064033938025403,0.9678404880476406,-0.1438138683246456,-0.0201872326433658,-0.0489542335271835,-0.0261142253875732,-0.0329934271636199,-0.037818492172295,-0.006104255291358,20240910_1100_h_lamina005.txt,-0.5209554215545008,0.8211352516530318,0.2331144509585037,-0.8282530336677107,-0.5523173632706234,0.09456448831363953,0.2064033938025403,-0.1438138683246456,0.9678404880476406
0.0243873961785939,0.9993429111818768,-0.026814189865814,-0.3729791613823742,0.9277892733978712,0.0096751921092504,-0.4164957958477846,0.8789150806615872,-0.2324640467400416,0.900884295109995,0.3646189831461438,-0.2355004967163331,0.122224133726888,0.307508175688237,0.9436630664700216,-0.0045622326433658,-0.0167276710271835,-0.0378329753875732,-0.0131519580869086,0.0041737742619585,-0.0374616155628113,20240910_1100_h_lamina006.txt,-0.4164957958477846,-0.2324640467400416,0.8789150806615872,0.900884295109995,-0.23550049671633305,0.36461898314614416,0.122224133726888,0.9436630664700216,0.307508175688237
0.0131797209833266,0.8442878539487364,0.5357278363399076,0.0427890314225007,0.270971596067812,0.96163584215356,-0.0729469574680816,0.0517984977680719,0.9959897876108574,-0.8864732331579834,0.4542293226618191,-0.0885490221776425,0.4569944729322027,0.8893776689703626,-0.0127833347082221,-0.0030973888933658,0.0167195945978164,-0.0029208660125732,-0.0027560888496783,0.0236094178155137,0.0172691623747197,20240910_1100_h_lamina007.txt,-0.07294695746808161,0.9959897876108575,0.051798497768071904,-0.8864732331579834,-0.08854902217764252,0.45422932266181937,0.4569944729322027,-0.0127833347082221,0.8893776689703626
-0.5057075982737947,0.8554323502578914,-0.1117824636533408,-0.960837648283054,0.2627402723248245,-0.0880827051160857,-0.9932046310479942,0.0027887308390205,-0.1163476851730427,0.116100955369612,0.0930653810716473,-0.9888677378741064,-0.0080702557011113,0.9956560941541496,0.0927567417852855,0.0087000131607055,0.0418353825807571,-0.018317312002182,-0.0183104724365782,0.0506209402919375,-0.0218481296270149,20240910_1530_j_lamina001.txt,-0.9932046310479942,-0.1163476851730427,0.0027887308390205,0.11610095536961204,-0.9888677378741066,0.09306538107164739,-0.0080702557011113,0.0927567417852855,0.9956560941541496
0.2218820536006214,0.9380747015293316,-0.2660530184768184,0.0961674503668828,0.7972258411998207,-0.5959721298963329,0.3299758055837306,0.6178082375175561,-0.7137429154708432,0.6408663660867774,0.4085401705875732,0.6499117092613468,-0.693113460082905,0.6718689683797934,0.2611241482134035,0.0453211069107055,0.0196185857057571,-0.021979421377182,0.0504404312082508,0.0432357086659778,-0.0415599546813442,20240910_1530_j_lamina002.txt,0.3299758055837306,-0.7137429154708432,0.6178082375175561,0.6408663660867775,0.6499117092613468,0.40854017058757325,-0.693113460082905,0.2611241482134035,0.6718689683797934
-0.0186642205095277,0.7236517156023252,-0.6899129230407147,0.0176181681267116,-0.3033691811640566,-0.9527102078133248,-0.0104398649379365,-0.063298876324477,-0.9979400089565184,-0.9934622854815716,-0.1128040356863189,0.0175481297753386,0.1136824372795115,-0.9915989621762108,0.061707387444711,0.0399500131607055,-0.0299419611692428,-0.033454030752182,0.0376260507978306,-0.0296841834349604,-0.056481586696437,20240910_1530_j_lamina003.txt,-0.010439864937936501,-0.9979400089565186,-0.06329887632447702,-0.9934622854815717,0.01754812977533856,-0.11280403568631886,0.1136824372795115,0.061707387444711,-0.9915989621762108
